Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,37.770000,-139.085720,90.000000,top
C2,1uF,C_0805_2012Metric,79.349976,-151.070108,180.000000,top
C3,1nF,C_0805_2012Metric,101.299976,-151.620108,-90.000000,top
C4,10u,C_0805_2012Metric,101.299976,-158.020108,-90.000000,top
C5,4.7pF,C_0805_2012Metric,79.349976,-147.070108,0.000000,top
C6,47uF,C_1206_3216Metric,73.799976,-151.070108,180.000000,top
C7,47uF,C_1206_3216Metric,73.799976,-147.070108,180.000000,top
C8,10uF,C_0805_2012Metric,86.000000,-106.562500,0.000000,top
C9,22uF,C_0805_2012Metric,91.500000,-107.062500,90.000000,top
C10,10uF,C_0805_2012Metric,146.750000,-147.350000,-90.000000,top
C11,100n,C_0805_2012Metric,138.475000,-156.500000,-90.000000,top
C12,47pF,C_0805_2012Metric,134.975000,-163.500000,90.000000,top
C13,22uF,C_0805_2012Metric,145.075000,-158.900000,0.000000,top
C14,22uF,C_0805_2012Metric,145.075000,-163.900000,0.000000,top
C15,100nF,C_0805_2012Metric,59.255000,-69.425000,-90.000000,top
C16,220uF,Cap_Polarized_220uF,108.255000,-69.425000,-90.000000,top
C17,0.1 uF,C_0805_2012Metric,160.500000,-103.750000,0.000000,top
D1,SMCJ26CA,D1_Bi-dir,73.500000,-138.000000,0.000000,top
D2,D,Diode_1N4007,114.156000,-57.500000,180.000000,top
D3,D,Diode_1N4007,103.110500,-51.500000,0.000000,top
D4,D,Diode_1N4007,36.402000,-62.225000,0.000000,top
D5,D,Diode_1N4007,47.639500,-56.350000,180.000000,top
D6,D,Diode_1N4007,38.160500,-77.450000,0.000000,top
D7,D,Diode_1N4007,49.589500,-83.950000,180.000000,top
D8,D,Diode_1N4007,112.889500,-84.000000,180.000000,top
D9,D,Diode_1N4007,101.713500,-90.500000,0.000000,top
F1,8A,Fuse_0805_2012Metric,80.799976,-162.070108,0.000000,top
F2,5A,Fuse_0805_2012Metric,71.000000,-113.062500,-90.000000,top
F3,5A,Fuse_0805_2012Metric,135.975000,-133.000000,-90.000000,top
IC1,LT8648SEV#PBF,Buck_1,86.299976,-152.570108,0.000000,top
J1,PRT-14017,RPiConnector,165.900000,-38.010000,-90.000000,top
J2,Conn_01x04_Socket,EncoderConn,21.000000,-122.500000,-90.000000,top
J3,691137710002,691137710002-2CONN,43.000000,-167.500000,180.000000,top
J4,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,92.799976,-162.070108,-90.000000,top
J5,XT60PW-M,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,59.600000,-154.350000,180.000000,top
J6,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,73.500000,-102.000000,-90.000000,top
J7,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,73.500000,-97.000000,-90.000000,top
J8,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,142.975000,-140.000000,-90.000000,top
J9,B4B-PH-K-S,B4B_PH_K_S,134.000002,-21.000000,0.000000,top
J10,B4B-PH-K-S,B4B_PH_K_S,52.000000,-21.000000,0.000000,top
J11,532610771,MOLEX_connector,76.000000,-23.000000,180.000000,top
J12,532610771,MOLEX_connector,96.200000,-23.000000,180.000000,top
J13,532610771,MOLEX_connector,116.700000,-23.000000,180.000000,top
J14,USB4125-GF-A_REVA2,GCT_USB4125-GF-A_REVA2,166.700000,-114.820000,90.000000,top
L1,2.2u,L_0805_2012Metric,80.799976,-157.070108,180.000000,top
L2,6.8u,L_0805_2012Metric,138.475000,-163.500000,-90.000000,top
LED1,150080VS75000,LED_0805_2012Metric,97.299976,-155.016000,-90.000000,top
LED2,150080VS75000,LED_0805_2012Metric,75.450000,-118.000000,0.000000,top
LED3,150080VS75000,LED_0805_2012Metric,66.850900,-118.062500,180.000000,top
LED4,150080VS75000,LED_0805_2012Metric,129.475000,-137.484000,90.000000,top
PS1,AP63356QZV-7,Buck_2,137.287500,-149.750000,-90.000000,top
Q1,AO3400A,RGB-FETS,33.000000,-125.000000,0.000000,top
Q2,AO3400A,RGB-FETS,33.000000,-115.000000,180.000000,top
Q3,AO3400A,RGB-FETS,40.806200,-119.952500,90.000000,top
Q5,IRFHM9331TRPBF,TRANS_IRFHM9331TRPBF,57.000000,-136.000000,0.000000,top
R1,2M,R_0805_2012Metric,42.500000,-142.000000,90.000000,top
R2,2M,R_0805_2012Metric,49.500000,-136.000000,-90.000000,top
R3,4.4k,R_0805_2012Metric,92.799976,-156.570108,90.000000,top
R4,7.87k,R_0805_2012Metric,97.299976,-147.570108,90.000000,top
R5,38.3k,R_0805_2012Metric,92.799976,-151.482608,90.000000,top
R6,DNP,R_0805_2012Metric,87.887476,-144.070108,0.000000,top
R7,100k,R_0805_2012Metric,83.299976,-139.070108,180.000000,top
R8,5.23k,R_0805_2012Metric,87.887476,-139.070108,180.000000,top
R9,600,R_0805_2012Metric,75.500000,-113.062500,-90.000000,top
R10,260,R_0805_2012Metric,66.500000,-113.062500,-90.000000,top
R11,2k,R_0805_2012Metric,129.475000,-132.912500,-90.000000,top
R12,157k,R_0805_2012Metric,133.475000,-143.000000,90.000000,top
R13,30k,R_0805_2012Metric,124.287500,-142.000000,180.000000,top
R84,5.1k,R_0805_2012Metric,157.500000,-112.500000,-90.000000,top
R85,5.1k,R_0805_2012Metric,157.500000,-117.000000,90.000000,top
U1,AZ1117IH-3.3TRG1,LDO,86.000000,-113.562500,-90.000000,top
U2,L298N,TO-220-15_P2.54x2.54mm_StaggerOdd_Lead4.58mm_Vertical,73.920000,-59.690000,-90.000000,top
U3,TPD3E001DRLR,USBC_ESD_Protection,159.450000,-107.200000,0.000000,top
X1,B2P-VH,B2P-VH,148.500000,-24.000000,180.000000,top
X2,B2P-VH,B2P-VH,42.520000,-24.000000,180.000000,top
