Comment,Designator,Footprint,LCSC
"1u","C1,C8,C9,C10","Capacitor_SMD:C_0805_2012Metric","C519973"
"0.47u","C11","Capacitor_SMD:C_0805_2012Metric","C519977"
"10u","C2,C5,C6,C7","Capacitor_SMD:C_0805_2012Metric","C88484"
"500n","C3","Capacitor_SMD:C_0805_2012Metric","C576434"
"80n","C4","Capacitor_SMD:C_0805_2012Metric","C3857194"
"532610771","J2","Footprints:MOLEX_connector","C505276"
"Microphone","MK1","Footprints:Omnidirectional","C3273770"
"4.5k","R1","Resistor_SMD:R_0805_2012Metric","C865529"
"10k","R2,R8,R9","Resistor_SMD:R_0805_2012Metric","C110775"
"100k","R3,R4","Resistor_SMD:R_0805_2012Metric","C96346"
"1k","R5","Resistor_SMD:R_0805_2012Metric","C95781"
"9k","R6","Resistor_SMD:R_0805_2012Metric","C868262"
"18k","R7","Resistor_SMD:R_0805_2012Metric","C137468"
"TestPoint","TP1,TP2,TP3","TestPoint:TestPoint_Pad_D1.0mm",""
"OPA1671IDBVR","U1","Footprints:Op-Amp","C1849409"
"~","U2","Footprints:ADC","C1519002"
